rank,char,freq,freq_rank
1116,挠,2523,2707
1117,政,269878,150
1118,赴,8594,1835
1119,赵,23428,1169
1120,挡,7851,1922
1121,挺,14615,1464
1122,括,40519,850
1123,拴,1537,2990
1124,拾,7497,1949
1125,挑,18417,1307
1126,指,166865,261
1127,垫,3233,2540
1128,挣,8297,1866
1129,挤,10920,1655
1130,拼,8842,1812
1131,挖,8449,1851
1132,按,69984,573
1133,挥,49702,742
1134,挪,5500,2177
1135,某,79482,517
1136,甚,64438,626
1137,革,78685,521
1138,荐,4406,2332
1139,巷,4221,2363
1140,带,124619,342
1141,草,44612,789
1142,茧,904,3227
1143,茶,19404,1270
1144,荒,17924,1326
1145,茫,7659,1939
1146,荡,15268,1422
1147,荣,31662,993
1148,故,70067,572
1149,胡,43199,806
1150,南,139078,307
1151,药,59090,662
1152,标,86324,473
1153,枯,5582,2161
1154,柄,5229,2211
1155,栋,2830,2638
1156,相,269125,152
1157,查,90039,459
1158,柏,11902,1593
1159,柳,12642,1554
1160,柱,10504,1684
1161,柿,1221,3094
1162,栏,6182,2082
1163,树,54037,697
1164,要,811011,26
1165,咸,3627,2480
1166,威,64559,622
1167,歪,5251,2209
1168,研,93761,447
1169,砖,4512,2320
1170,厘,5096,2232
1171,厚,20624,1234
1172,砌,1442,3020
1173,砍,5418,2189
1174,面,425180,74
1175,耐,15629,1407
1176,耍,5109,2230
1177,牵,10641,1672
1178,残,24030,1150
1179,殃,964,3206
1180,轻,89852,460
1181,鸦,4236,2361
1182,皆,15357,1417
1183,背,45181,787
1184,战,278776,145
1185,点,300800,128
1186,临,41068,839
1187,览,8259,1877
1188,竖,3698,2462
1189,省,58642,666
1190,削,9169,1786
1191,尝,11557,1618
1192,是,2615490,3
1193,盼,5689,2148
1194,眨,4393,2336
1195,哄,3660,2471
1196,显,87825,469
1197,哑,4406,2333
1198,冒,20917,1221
1199,映,18102,1314
1200,星,76320,537
1201,昨,14406,1472
1202,畏,6722,2026
1203,趴,1942,2849
1204,胃,7533,1945
1205,贵,38668,873
1206,界,148438,288
1207,虹,5670,2150
1208,虾,2338,2751
1209,蚁,3653,2474
1210,思,144503,298
1211,蚂,2206,2780
1212,虽,81097,504
1213,品,138528,308
1214,咽,6818,2018
1215,骂,14976,1446
1216,哗,3759,2444
1217,咱,19554,1263
1218,响,81702,503
1219,哈,52475,713
1220,咬,11029,1652
1221,咳,4390,2339
1222,哪,60708,652
1223,炭,4405,2334
1224,峡,10028,1720
1225,罚,21011,1214
1226,贱,3270,2531
1227,贴,14888,1451
1228,骨,29180,1036
1229,钞,3049,2585
1230,钟,36770,905
1231,钢,11738,1606
1232,钥,3772,2439
1233,钩,5140,2224
1234,卸,3795,2437
1235,缸,2437,2728
1236,拜,20978,1217
1237,看,424616,76
1238,矩,5766,2134
1239,怎,112294,382
1240,牲,12107,1579
1241,选,82498,499
1242,适,58927,663
1243,秒,6829,2015
1244,香,46525,776
1245,种,503344,57
1246,秋,24030,1151
1247,科,155750,277
1248,重,282843,140
1249,复,98822,426
1250,竿,2083,2816
1251,段,71172,567
1252,便,159479,271
1253,俩,12340,1571
1254,贷,11793,1602
1255,顺,34708,938
1256,修,49829,740
1257,保,164424,266
1258,促,25792,1102
1259,侮,3144,2560
1260,俭,2193,2781
1261,俗,17463,1352
1262,俘,6594,2043
1263,信,230248,176
1264,皇,47750,759
1265,泉,11237,1637
1266,鬼,28916,1042
1267,侵,26466,1086
1268,追,47079,768
1269,俊,8543,1839
1270,盾,16080,1393
1271,待,57757,673
1272,律,77818,526
1273,很,284252,138
1274,须,94903,444
1275,叙,11786,1604
1276,剑,39020,869
1277,逃,31468,996
1278,食,58110,671
1279,盆,6780,2022
1280,胆,17486,1350
1281,胜,49565,743
1282,胞,17702,1339
1283,胖,8184,1884
1284,脉,11932,1591
1285,勉,6398,2061
1286,狭,6901,2006
1287,狮,5456,2184
1288,独,64201,627
1289,狡,2971,2604
1290,狱,11886,1594
1291,狠,11116,1649
1292,贸,26198,1092
1293,怨,11305,1633
1294,急,60141,657
1295,饶,5079,2235
1296,蚀,3131,2563
1297,饺,856,3243
1298,饼,4439,2325
1299,弯,10917,1656
1300,将,295586,132
1301,奖,20690,1232
1302,哀,9693,1744
1303,亭,7041,1990
1304,亮,41016,840
1305,度,214376,184
1306,迹,25920,1098
1307,庭,35205,931
1308,疮,1681,2940
1309,疯,12771,1546
1310,疫,9202,1784
1311,疤,1765,2911
1312,姿,8092,1890
1313,亲,118451,362
1314,音,76043,540
1315,帝,66035,612
1316,施,73861,553
1317,闻,42253,825
1318,阀,2970,2605
1319,阁,10595,1675
1320,差,50349,732
1321,养,47702,760
1322,美,269452,151
1323,姜,4261,2358
1324,叛,9361,1772
1325,送,60182,656
1326,类,138280,311
1327,迷,23959,1153
1328,前,381431,93
1329,首,85036,481
1330,逆,7339,1963
1331,总,184470,228
1332,炼,9528,1756
1333,炸,32540,976
1334,炮,36315,914
1335,烂,9635,1747
1336,剃,1337,3060
1337,洁,13261,1528
1338,洪,17526,1348
1339,洒,4961,2252
1340,浇,2265,2765
1341,浊,1924,2854
1342,洞,30399,1015
1343,测,39752,861
1344,洗,20229,1246
1345,活,189876,219
1346,派,76750,532
1347,洽,1809,2900
1348,染,24444,1141
